siteId,siteName,rows,country,countrySource,siteType,prefixTopCountry,prefixShare,prefixedRows,checkPrefixConflict
OTRO..,otro.. NO USAR,140,COLOMBIA,inferido_prefijo,VIRTUAL_O_BAJA,COLOMBIA,0.82,28,False
19,Hotel Frontera,129,SIN_ASIGNAR,sin_evidencia,VENUE_CLIENTE,COLOMBIA,1.0,1,False
W PANAMA,H. W Panama,129,PANAMA,regla_nombre,VENUE_CLIENTE,PANAMA,1.0,129,False
GHOST 2025,Ghost 2025,123,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,COLOMBIA,1.0,1,False
VENTA SEGUNDA CHILE,Venta Segunda Chile,118,CHILE,regla_nombre,VIRTUAL_O_BAJA,COLOMBIA,1.0,1,False
HILTON PANAMA,H. Hilton Panama,111,PANAMA,regla_nombre,VENUE_CLIENTE,PANAMA,0.97,111,False
H.C. FS CARTAGENA,H.C. Four Seasons Cartagena,99,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.97,99,False
99,VENTA REMATE,99,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,COLOMBIA,1.0,1,False
59,Hotel Terrado,97,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
H.C. FS CALLE 85,H.C. Four Seasons Calle 85,84,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.99,69,False
CARPAS MARFIL,Carpas Marfíl,81,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
24,Hotel Temuco,80,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
HOTEL CAP MIRAFLORES,HOTEL CAP MIRAFLORES,79,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.98,58,False
HOTEL DAZZLER LIMA,Hotel Dazzler Lima,75,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.94,16,False
BOTAR CHILE,Botar Chile,73,CHILE,regla_nombre,VIRTUAL_O_BAJA,COLOMBIA,1.0,2,False
35,Hotel O'Higgins,72,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
SERVICIO TECNICO COLO,Servicio Tecnico ColombiaREPAIR COLOMBIA,71,COLOMBIA,regla_nombre,SERVICIO_TECNICO,COLOMBIA,0.96,28,False
SERVICIO TECNICO CONC,Servicio Tecnico Concepcion,67,CHILE,regla_nombre,SERVICIO_TECNICO,COLOMBIA,1.0,1,False
WALDORF PANAMA,H. Waldorf Panama,56,PANAMA,regla_nombre,VENUE_CLIENTE,PANAMA,1.0,56,False
46,Hotel Windsor House,42,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,4,False
HOTEL COUNTRY CLUB,Hotel Country Club,40,PERU,regla_nombre,VENUE_CLIENTE,PERU,1.0,17,False
43,Hotel La Fontana,37,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,0.8,5,False
45,Hotel Suite Jones,36,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,5,False
44,Hotel Estelar Parque 93,31,COLOMBIA,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,2,False
47,Hotel de la Feria,29,SIN_ASIGNAR,sin_evidencia,VENUE_CLIENTE,COLOMBIA,1.0,2,False
EQUIPO MALO PERU,Equipo Malo Peru,21,PERU,regla_nombre,VIRTUAL_O_BAJA,PERU,0.67,3,False
HOTEL PUCÓN,Hotel Pucon,21,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
SI176803587,Rebajar 2020 Chile,20,CHILE,regla_nombre,VIRTUAL_O_BAJA,,0.0,0,False
SERVICIO TECNICO ANTO,Servicio Tecnico Antofagasta,19,CHILE,regla_nombre,SERVICIO_TECNICO,COLOMBIA,1.0,1,False
SERVICIO TECNICO PTO.,Servicio Tecnico Pto. Varas,15,CHILE,regla_nombre,SERVICIO_TECNICO,COLOMBIA,1.0,1,False
SI179712566,Marina del Sol Chillan,15,CHILE,regla_nombre,VENUE_CLIENTE,,0.0,0,False
HOTEL CAP SAN ISIDRO,HOTEL CAP SAN ISIDRO,11,PERU,regla_nombre,VENUE_CLIENTE,PERU,1.0,9,False
SI179719603,Marina del Sol,10,CHILE,regla_nombre,VENUE_CLIENTE,,0.0,0,False
60,Bodega Ajustes,10,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,COLOMBIA,1.0,1,False
BODEGA ALT COL,Bodega Colombia,9,COLOMBIA,regla_nombre,CENTRO_DISTRIBUCION,COLOMBIA,1.0,8,False
68,Faena Antofagasta,8,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
PALACIO DEL INCA OLD,PALACIO DEL INCA OLD,8,PERU,regla_nombre,VENUE_CLIENTE,PERU,0.6,5,False
CASA ANDINA OLD,CASA ANDINA old,7,PERU,regla_nombre,VENUE_CLIENTE,PERU,1.0,4,False
76,ATTON BRICKELL MIAMI,7,USA,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
H. WHYNDAM ANTOFAGAST,H. Whyndam Antofagasta,6,CHILE,regla_nombre,VENUE_CLIENTE,,0.0,0,False
57,Casino Coyhaique,5,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
ADMINISTRACION CHILE,ADMINISTRACION CHILE,5,CHILE,regla_nombre,CENTRO_DISTRIBUCION,CHILE,1.0,5,False
62,Hotel Trump,5,SIN_ASIGNAR,sin_evidencia,VENUE_CLIENTE,COLOMBIA,1.0,1,False
HOTEL COSTA DEL SOL A,Hotel Costa del Sol Aeropuerto,5,PERU,regla_nombre,VENUE_CLIENTE,PERU,1.0,3,False
MERMA TRANSITORIA SER,Merma Transitoria Service Ticket,4,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,COLOMBIA,1.0,1,False
H. NOVOTEL SANTIAGO P,H. Novotel Santiago Providencia,4,CHILE,regla_nombre,VENUE_CLIENTE,,0.0,0,False
ENJOY STGO. RINCONADA,Enjoy Stgo. Rinconada,3,CHILE,regla_nombre,VENUE_CLIENTE,COLOMBIA,1.0,1,False
EF PERU,Equipo Fuera Peru 2025,2,PERU,regla_nombre,VIRTUAL_O_BAJA,COLOMBIA,0.5,2,False
SI180057954,Proyectos 2020,2,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,,0.0,0,False
TRANSITO METRO-BCENTR,TransMetBCentral,1,SIN_ASIGNAR,sin_evidencia,VIRTUAL_O_BAJA,,0.0,0,False
SI179932054,SSTT Externo,1,SIN_ASIGNAR,sin_evidencia,SERVICIO_TECNICO,,0.0,0,False
