column,before,after,rule,rows
manufacturer,YAMAH,YAMAHA,alias fabricante (manufacturer_aliases.csv),23
manufacturer,TP_LINK,TP-LINK,alias fabricante (manufacturer_aliases.csv),22
manufacturer,MULTICAISSES,MULTICAISSE,alias fabricante (manufacturer_aliases.csv),21
manufacturer,SCAN DISK,SANDISK,alias fabricante (manufacturer_aliases.csv),18
manufacturer,BLUSTTREAM,BLUSTREAM,alias fabricante (manufacturer_aliases.csv),18
manufacturer,BEHERINGER,BEHRINGER,alias fabricante (manufacturer_aliases.csv),18
manufacturer,BLACKMAGICDESIGN,BLACKMAGIC DESIGN,alias fabricante (manufacturer_aliases.csv),18
manufacturer,AV MATRIX,AVMATRIX,alias fabricante (manufacturer_aliases.csv),16
manufacturer,ASSUS,ASUS,alias fabricante (manufacturer_aliases.csv),15
manufacturer,DA - LITE,DA-LITE,alias fabricante (manufacturer_aliases.csv),14
manufacturer,AMERICA NET,AMERICAN NET,alias fabricante (manufacturer_aliases.csv),14
manufacturer,BERINGER,BEHRINGER,alias fabricante (manufacturer_aliases.csv),13
manufacturer,BRIGHTSING,BRIGHTSIGN,alias fabricante (manufacturer_aliases.csv),11
manufacturer,TP LINK,TP-LINK,alias fabricante (manufacturer_aliases.csv),11
manufacturer,KLIPXTREME,KLIP XTREME,alias fabricante (manufacturer_aliases.csv),10
manufacturer,ALLEN & HEAT,ALLEN & HEATH,alias fabricante (manufacturer_aliases.csv),9
manufacturer,SMALLRING,SMALLRIG,alias fabricante (manufacturer_aliases.csv),8
manufacturer,SOUNDCRAF,SOUNDCRAFT,alias fabricante (manufacturer_aliases.csv),7
manufacturer,X-TECH,XTECH,alias fabricante (manufacturer_aliases.csv),7
manufacturer,TV ONE,TV-ONE,alias fabricante (manufacturer_aliases.csv),6
manufacturer,ALLEN / HEAT,ALLEN & HEATH,alias fabricante (manufacturer_aliases.csv),6
manufacturer,MY CONFERENCE TOOLS,MYCONFERENCETOOLS,alias fabricante (manufacturer_aliases.csv),5
manufacturer,CAHUVET,CHAUVET,alias fabricante (manufacturer_aliases.csv),5
manufacturer,INTER M,INTER-M,alias fabricante (manufacturer_aliases.csv),4
manufacturer,PC TRONIX,PCTRONIX,alias fabricante (manufacturer_aliases.csv),4
manufacturer,TVONE,TV-ONE,alias fabricante (manufacturer_aliases.csv),4
manufacturer,DSANº,DSAN,alias fabricante (manufacturer_aliases.csv),4
manufacturer,BLACK MAGIC DESIGN,BLACKMAGIC DESIGN,alias fabricante (manufacturer_aliases.csv),4
manufacturer,U-GREEN,UGREEN,alias fabricante (manufacturer_aliases.csv),4
manufacturer,POLAR LIGTH,POLARLIGHT,alias fabricante (manufacturer_aliases.csv),3
manufacturer,TUBOSOUND,TURBOSOUND,alias fabricante (manufacturer_aliases.csv),3
manufacturer,TPLINK,TP-LINK,alias fabricante (manufacturer_aliases.csv),3
manufacturer,DA- LITE,DA-LITE,alias fabricante (manufacturer_aliases.csv),2
manufacturer,NUMARCK,NUMARK,alias fabricante (manufacturer_aliases.csv),2
